src,dst,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
5,8,5022.0,4305.0,717.0,0.8572281959378734,100368.0,23.314285714285713,10036800.0,2331.4285714285716
5,9,5059.0,4682.0,377.0,0.9254793437438229,67204.0,14.35369500213584,6720400.0,1435.369500213584
5,10,5055.0,4140.0,915.0,0.8189910979228486,132603.0,32.029710144927535,13260300.0,3202.9710144927535
5,11,5057.0,3971.0,1086.0,0.7852481708522839,97841.0,24.63888189372954,9784100.0,2463.888189372954
5,12,5043.0,3748.0,1295.0,0.743208407693833,88361.0,23.575506937033083,8836100.0,2357.5506937033083
5,13,5003.0,3587.0,1416.0,0.7169698181091345,90275.0,25.167270699749093,9027500.0,2516.727069974909
6,7,5005.0,3986.0,1019.0,0.7964035964035964,36473.0,9.150275965880581,3647300.0,915.0275965880583
6,8,5045.0,1988.0,3057.0,0.39405351833498514,54766.0,27.548289738430583,5476600.0,2754.8289738430585
6,9,5051.0,1718.0,3333.0,0.34013066719461493,61238.0,35.64493597206054,6123800.0,3564.4935972060534
6,10,5051.0,1500.0,3551.0,0.2969708968521085,56295.0,37.53,5629500.0,3753.0
6,11,5078.0,1284.0,3794.0,0.2528554549035053,43660.0,34.00311526479751,4366000.0,3400.3115264797507
6,12,5043.0,1028.0,4015.0,0.20384691651794568,38649.0,37.59630350194553,3864900.0,3759.6303501945526
6,13,4963.0,871.0,4092.0,0.17549869030828127,30651.0,35.19058553386912,3065100.0,3519.0585533869116
7,8,4962.0,1404.0,3558.0,0.282950423216445,25556.0,18.202279202279204,2555600.0,1820.2279202279203
7,9,4950.0,1067.0,3883.0,0.21555555555555556,34939.0,32.745079662605434,3493900.0,3274.5079662605435
7,10,4939.0,1038.0,3901.0,0.21016400080988054,31191.0,30.04913294797688,3119100.0,3004.9132947976877
7,11,4995.0,881.0,4114.0,0.17637637637637638,22413.0,25.440408626560725,2241300.0,2544.0408626560725
7,12,4866.0,728.0,4138.0,0.14960953555281545,20026.0,27.50824175824176,2002600.0,2750.8241758241757
7,13,5050.0,572.0,4478.0,0.11326732673267327,15131.0,26.452797202797203,1513100.0,2645.27972027972
8,9,5042.0,3819.0,1223.0,0.7574375247917493,48751.0,12.765383608274417,4875100.0,1276.5383608274417
8,10,5046.0,5041.0,5.0,0.9990091161315894,65539.0,13.00119024003174,6553900.0,1300.119024003174
8,11,4940.0,4938.0,2.0,0.9995951417004049,24735.0,5.009113001215066,2473500.0,500.91130012150666
8,12,5083.0,5079.0,4.0,0.9992130631516821,40648.0,8.003150226422525,4064800.0,800.3150226422524
8,13,4955.0,4954.0,1.0,0.9997981836528759,24770.0,5.0,2477000.0,500.0
9,10,5030.0,3623.0,1407.0,0.7202783300198807,91414.0,25.23157604195418,9141400.0,2523.157604195418
9,11,5015.0,3450.0,1565.0,0.6879361914257228,63232.0,18.328115942028987,6323200.0,1832.8115942028985
9,12,4887.0,3121.0,1766.0,0.6386331082463679,64556.0,20.68439602691445,6455600.0,2068.439602691445
9,13,4960.0,3080.0,1880.0,0.6209677419354839,59904.0,19.44935064935065,5990400.0,1944.935064935065
